1843            : 1 : [p11:s0], 
apparition      : 2 : [p171:s2], [p213:s0], 
appealing       : 1 : [p525:s1], 
appear          : 1 : [p200:s0], 
appearance      : 2 : [p242:s0], [p379:s3], 
appearances     : 1 : [p380:s1], 
appeared        : 14 : [p51:s3], [p129:s1], [p264:s1], [p270:s0], [p295:s1], [p319:s4], [p319:s8], [p381:s0], [p402:s5], [p404:s2], [p511:s0], [p569:s3], [p623:s0], [p694:s0], 
appearing       : 2 : [p424:s1], [p767:s0], 
appetite        : 2 : [p458:s4], [p680:s3], 
applauded       : 1 : [p69:s0], 
apples          : 3 : [p383:s5], [p402:s4], [p444:s1], 
applesauce      : 2 : [p439:s2], [p440:s3], 
applied         : 1 : [p569:s3], 
apply           : 3 : [p193:s0], [p408:s0], [p569:s2], 
appraised       : 1 : [p588:s3], 
apprehensive    : 1 : [p381:s2], 
apprentice      : 1 : [p464:s3], 
apprenticed     : 1 : [p304:s2], 
apprentices     : 1 : [p324:s0], 
approach        : 2 : [p55:s3], [p214:s0], 
approached      : 2 : [p275:s0], [p532:s0], 
appropriate     : 1 : [p150:s3], 
approving       : 1 : [p476:s1], 
aprons          : 1 : [p403:s4], 
archways        : 1 : [p572:s2], 
are             : 58 : [p51:s0], [p68:s0], [p92:s2], [p92:s2], [p93:s0], [p95:s2], [p96:s0], [p97:s0], [p100:s0], [p103:s3], [p110:s3], [p148:s0], [p161:s3], [p166:s0], [p176:s0], [p244:s0], [p247:s0], [p252:s2], [p271:s0], [p292:s7], [p293:s0], [p344:s2], [p346:s0], [p346:s2], [p361:s7], [p369:s1], [p369:s1], [p380:s0], [p419:s0], [p419:s0], [p422:s1], [p426:s0], [p428:s1], [p455:s2], [p482:s3], [p494:s3], [p512:s0], [p524:s1], [p525:s0], [p527:s0], [p527:s2], [p537:s0], [p562:s0], [p563:s0], [p612:s2], [p626:s0], [p682:s1], [p682:s1], [p705:s0], [p705:s0], [p705:s1], [p732:s8], [p736:s0], [p742:s3], [p743:s2], [p755:s1], [p766:s0], [p766:s3], 
arm             : 7 : [p212:s2], [p242:s6], [p243:s1], [p257:s0], [p278:s0], [p360:s8], [p760:s1], 
arms            : 7 : [p195:s0], [p242:s2], [p289:s0], [p359:s0], [p434:s0], [p595:s1], [p705:s0], 
aromatic        : 1 : [p493:s0], 
arose           : 1 : [p439:s5], 
array           : 1 : [p755:s1], 
arrival         : 1 : [p731:s1], 
arrived         : 1 : [p114:s0], 
artful          : 1 : [p316:s1], 
artifice        : 1 : [p387:s2], 
artificial      : 1 : [p400:s1], 
artist          : 1 : [p24:s0], 
as              : 224 : [p44:s4], [p44:s4], [p45:s2], [p45:s4], [p45:s4], [p48:s2], [p49:s3], [p49:s3], [p51:s3], [p54:s2], [p63:s0], [p68:s2], [p76:s1], [p77:s1], [p85:s1], [p109:s1], [p109:s5], [p109:s6], [p109:s7], [p110:s2], [p110:s3], [p122:s1], [p122:s1], [p123:s3], [p123:s5], [p124:s1], [p124:s1], [p125:s1], [p125:s2], [p125:s3], [p126:s0], [p128:s0], [p129:s3], [p132:s1], [p132:s4], [p136:s1], [p136:s2], [p137:s1], [p137:s2], [p137:s3], [p140:s1], [p146:s1], [p150:s3], [p155:s1], [p162:s1], [p163:s2], [p169:s1], [p179:s1], [p179:s1], [p179:s1], [p195:s0], [p205:s0], [p205:s0], [p212:s0], [p215:s0], [p217:s0], [p219:s1], [p220:s1], [p227:s2], [p241:s2], [p241:s2], [p242:s0], [p242:s1], [p242:s2], [p243:s1], [p243:s2], [p246:s1], [p257:s0], [p259:s1], [p262:s0], [p263:s1], [p272:s0], [p272:s2], [p272:s3], [p276:s2], [p286:s0], [p289:s0], [p295:s3], [p298:s0], [p314:s3], [p314:s3], [p314:s3], [p315:s10], [p315:s10], [p315:s13], [p319:s0], [p319:s2], [p320:s3], [p326:s4], [p326:s4], [p332:s0], [p336:s2], [p339:s2], [p339:s2], [p350:s0], [p354:s1], [p360:s8], [p360:s8], [p362:s0], [p362:s0], [p366:s2], [p367:s2], [p380:s1], [p380:s1], [p381:s2], [p383:s4], [p383:s4], [p383:s6], [p387:s2], [p387:s4], [p399:s0], [p401:s1], [p402:s3], [p402:s4], [p403:s3], [p404:s2], [p405:s0], [p419:s0], [p419:s0], [p420:s0], [p420:s1], [p420:s1], [p423:s4], [p424:s1], [p428:s1], [p436:s0], [p436:s0], [p439:s4], [p440:s3], [p443:s1], [p445:s0], [p445:s0], [p449:s1], [p460:s0], [p464:s2], [p464:s4], [p464:s4], [p466:s0], [p467:s3], [p468:s0], [p471:s4], [p471:s4], [p472:s3], [p473:s1], [p474:s1], [p475:s0], [p476:s0], [p476:s0], [p476:s1], [p479:s0], [p479:s1], [p479:s1], [p481:s0], [p484:s0], [p493:s0], [p494:s0], [p496:s2], [p497:s11], [p498:s2], [p498:s3], [p501:s0], [p505:s2], [p511:s2], [p529:s1], [p538:s0], [p539:s1], [p541:s2], [p541:s2], [p544:s0], [p545:s1], [p574:s0], [p576:s6], [p576:s6], [p581:s0], [p599:s0], [p605:s3], [p606:s1], [p612:s0], [p634:s1], [p636:s0], [p637:s2], [p637:s2], [p639:s2], [p650:s2], [p660:s6], [p660:s7], [p666:s0], [p666:s0], [p673:s0], [p673:s1], [p678:s3], [p681:s2], [p685:s0], [p686:s0], [p695:s0], [p703:s1], [p707:s2], [p707:s2], [p707:s2], [p707:s2], [p707:s2], [p707:s2], [p707:s3], [p707:s3], [p723:s0], [p723:s0], [p730:s4], [p731:s1], [p732:s0], [p732:s0], [p737:s1], [p742:s1], [p763:s1], [p764:s1], [p764:s1], [p770:s1], [p772:s2], [p772:s2], [p772:s2], [p772:s2], [p772:s3], [p772:s3], [p772:s3], [p773:s2], 
ashamed         : 1 : [p622:s2], 
aside           : 3 : [p241:s0], [p241:s2], [p379:s2], 
ask             : 6 : [p79:s0], [p103:s1], [p149:s0], [p292:s5], [p517:s0], [p741:s2], 
asked           : 21 : [p51:s2], [p93:s1], [p152:s1], [p155:s0], [p244:s1], [p251:s0], [p284:s1], [p303:s0], [p328:s1], [p406:s1], [p408:s1], [p410:s1], [p435:s1], [p469:s1], [p512:s1], [p550:s1], [p552:s1], [p591:s3], [p600:s1], [p604:s1], [p623:s0], 
asleep          : 2 : [p220:s4], [p279:s7], 
aspirations     : 1 : [p340:s2], 
ass             : 2 : [p278:s1], [p501:s1], 
assembled       : 2 : [p471:s1], [p479:s2], 
assembling      : 1 : [p466:s3], 
assign          : 1 : [p46:s4], 
assigned        : 1 : [p164:s1], 
assist          : 2 : [p217:s3], [p770:s3], 
assisted        : 1 : [p422:s1], 
associated      : 1 : [p275:s4], 
assure          : 4 : [p496:s1], [p497:s14], [p695:s1], [p743:s2], 
assured         : 1 : [p569:s0], 
astonish        : 1 : [p47:s3], 
astonished      : 1 : [p380:s1], 
astonishment    : 3 : [p136:s2], [p224:s0], [p574:s2], 
